,site_url,name
0,https://www.investing.com/equities/all-amer-lat-on-nm-historical-data,Rumo SA
1,https://www.investing.com/equities/alpargatas-pn-n1-historical-data,Alpargatas SA
2,https://www.investing.com/equities/ambev-pn-historical-data,Ambev SA
3,https://www.investing.com/equities/brasil-on-historical-data,Banco do Brasil SA
4,https://www.investing.com/equities/bradesco-on-n1-historical-data,Banco Bradesco SA
5,https://www.investing.com/equities/bradesco-pn-n1-historical-data,Banco Bradesco SA
6,https://www.investing.com/equities/minerva-on-nm-historical-data,Minerva SA
7,https://www.investing.com/equities/panamericano-pn-historical-data,Banco Pan SA
8,https://www.investing.com/equities/bradespar-pn-n1-historical-data,Bradespar SA
9,https://www.investing.com/equities/brf-foods-on-ej-nm-historical-data,BRF SA
10,https://www.investing.com/equities/braskem-pna-n1-historical-data,Braskem SA
11,https://www.investing.com/equities/br-malls-par-on-nm-historical-data,BR Malls Participações SA
12,https://www.investing.com/equities/b2w-varejo-on-nm-historical-data,Americanas SA
13,https://www.investing.com/equities/bmfbovespa-on-nm-historical-data,B3 SA Brasil Bolsa Balcão
14,https://www.investing.com/equities/ccr-sa-on-nm-historical-data,CCR SA
15,https://www.investing.com/equities/cielo-on-nm-historical-data,Cielo SA
16,https://www.investing.com/equities/cemig-pn-n1-historical-data,Companhia Energética de Minas Gerais Cemig
17,https://www.investing.com/equities/cpfl-energia-on-nm-historical-data,CPFL Energia SA
18,https://www.investing.com/equities/copel-pnb-historical-data,Companhia Paranaense de Energia COPEL
19,https://www.investing.com/equities/cosan-on-nm-historical-data,Cosan SA
20,https://www.investing.com/equities/sid-nacional-on-historical-data,Companhia Siderúrgica Nacional
21,https://www.investing.com/equities/cyrela-realt-on-nm-historical-data,Cyrela Brazil Realty SA Empreendimentos e Participações
22,https://www.investing.com/equities/duratex-on-nm-historical-data,Dexco SA
23,https://www.investing.com/equities/ecorodovias-on-nm-historical-data,Ecorodovias Infraestrutura e Logística SA
24,https://www.investing.com/equities/eletrobras-on-historical-data,Centrais Elétricas Brasileiras SA Eletrobras
25,https://www.investing.com/equities/eletrobras-pnb-historical-data,Centrais Elétricas Brasileiras SA Eletrobras
26,https://www.investing.com/equities/embraer-on-nm-historical-data,Embraer SA
27,https://www.investing.com/equities/energias-br-on-historical-data,EDP Energias do Brasil SA
28,https://www.investing.com/equities/equatorial-on-nm-historical-data,Equatorial Energia SA
29,https://www.investing.com/equities/estacio-part-on-nm-historical-data,YDUQS Participações SA
30,https://www.investing.com/equities/eztec-on-nm-historical-data,EZTEC Empreendimentos e Participações SA
31,https://www.investing.com/equities/fleury-on-nm-historical-data,Fleury SA
32,https://www.investing.com/equities/gerdau-pn-n1-historical-data,Gerdau SA
33,https://www.investing.com/equities/gerdau-met-pn-historical-data,Metalúrgica Gerdau SA
34,https://www.investing.com/equities/gol-pn-es-n2-historical-data,Gol Linhas Aéreas Inteligentes SA
35,https://www.investing.com/equities/hrt-petroleo-on-nm-historical-data,Petro Rio SA
36,https://www.investing.com/equities/hypermarcas-sa-historical-data,Hypera SA
37,https://www.investing.com/equities/itausa-pn-ej-n1-historical-data,Itaúsa SA
38,https://www.investing.com/equities/itauunibanco-pn-edj-n1-historical-data,Itaú Unibanco Holdings SA
39,https://www.investing.com/equities/jbs-on-nm-historical-data,JBS SA
40,https://www.investing.com/equities/jhsf-part-on-nm-historical-data,JHSF Participações SA
41,https://www.investing.com/equities/lojas-renner-on-nm-historical-data,Lojas Renner SA
42,https://www.investing.com/equities/magaz-luiza-on-nm-historical-data,Magazine Luiza SA
43,https://www.investing.com/equities/eneva-sa-historical-data,Eneva SA
44,https://www.investing.com/equities/marfrig-on-nm-historical-data,Marfrig Global Foods SA
45,https://www.investing.com/equities/mrv-on-nm-historical-data,MRV Engenharia e Participações SA
46,https://www.investing.com/equities/multiplan-on-n2-historical-data,Multiplan Empreendimentos Imobiliários SA
47,https://www.investing.com/equities/natura-on-nm-historical-data,Natura &amp;Co Holding S.A.
48,https://www.investing.com/equities/petrobras-on-historical-data,Petróleo Brasileiro SA Petrobras
49,https://www.investing.com/equities/petrobras-pn-historical-data,Petróleo Brasileiro SA Petrobras
50,https://www.investing.com/equities/positivo-inf-on-nm-historical-data,Positivo Tecnologia SA
51,https://www.investing.com/equities/qualicorp-on-nm-historical-data,Qualicorp Consultoria e Corretora de Seguros SA
52,https://www.investing.com/equities/localiza-on-ej-nm-historical-data,Localiza Rent a Car SA
53,https://www.investing.com/equities/santander-br-unt-ed-n2-historical-data,Banco Santander Brasil SA
