,site_url,name
0,https://www.investing.com/equities/acs-cons-y-serv-historical-data,ACS Actividades de Construccion y Servicios SA (CFD)
1,https://www.investing.com/equities/acerinox-historical-data,Acerinox (CFD)
2,https://www.investing.com/equities/bbva-historical-data,Banco Bilbao Vizcaya Argentaria SA (CFD)
3,https://www.investing.com/equities/bankinter-historical-data,Bankinter (CFD)
4,https://www.investing.com/equities/acciona-sa-historical-data,Acciona Sa (CFD)
5,https://www.investing.com/equities/caixabank-sa-historical-data,Caixabank SA (CFD)
6,https://www.investing.com/equities/enagas-historical-data,Enagas (CFD)
7,https://www.investing.com/equities/gas-natural-sdg-historical-data,Naturgy Energy Group SA (CFD)
8,https://www.investing.com/equities/gamesa-historical-data,Siemens Gamesa Renewable Energy SA (CFD)
9,https://www.investing.com/equities/grifols-historical-data,Grifols SA (CFD)
10,https://www.investing.com/equities/grupo-ferrovial-historical-data,Ferrovial SA (CFD)
11,https://www.investing.com/equities/red-electrica-historical-data,Red Electrica Corporacion SA (CFD)
12,https://www.investing.com/equities/inditex-historical-data,Industria de Diseno Textil SA (CFD)
13,https://www.investing.com/equities/repsol-ypf-historical-data,Repsol (CFD)
14,https://www.investing.com/equities/iberdrola-historical-data,Iberdrola (CFD)
15,https://www.investing.com/equities/indra-sistemas-historical-data,Indra Sistemas (CFD)
16,https://www.investing.com/equities/mapfre-historical-data,Mapfre (CFD)
17,https://www.investing.com/equities/telefonica-historical-data,Telefonica SA (CFD)
18,https://www.investing.com/equities/sacyr-valle-historical-data,Sacyr SA (CFD)
19,https://www.investing.com/equities/bco-de-sabadell-historical-data,Banco de Sabadell SA (CFD)
20,https://www.investing.com/equities/banco-santander-historical-data,Banco Santander (CFD)
21,https://www.investing.com/equities/inmob-colonial-historical-data,Inmob colonial (CFD)
22,https://www.investing.com/equities/intl.-cons.-air-grp-historical-data,International Consolidated Airlines Group SA (CFD)
23,https://www.investing.com/equities/endesa-historical-data,Endesa SA (CFD)
24,https://www.investing.com/equities/amadeus-historical-data,Amadeus (CFD)
25,https://www.investing.com/equities/laboratorios-farmaceuticos-rovi-sa-historical-data,Laboratorios Farmaceuticos ROVI SA (CFD)
26,https://www.investing.com/equities/solaria-energia-y-medio-ambiente-historical-data,SOLARIA ENERGIA Y MEDIO AMBIENTE (CFD)
27,https://www.investing.com/equities/melia-hotels-international-sa-historical-data,Melia Hotels International SA (CFD)
28,https://www.investing.com/equities/fluidra-sa-historical-data,Fluidra SA (CFD)
29,https://www.investing.com/equities/arcelormittal-reg-historical-data,ArcelorMittal SA (CFD)
30,https://www.investing.com/equities/merlin-properties-sa-historical-data,Merlin Properties SA (CFD)
31,https://www.investing.com/equities/aena-aeropuertos-sa-historical-data,Aena SME SA (CFD)
32,https://www.investing.com/equities/cellnex-telecom-historical-data,Cellnex Telecom SA (CFD)
33,https://www.investing.com/equities/pharma-mar-sau-historical-data,Pharma Mar SAU (CFD)
34,https://www.investing.com/equities/corp-acciona-energias-renovables-historical-data,Corporacion Acciona Energias Renovables SA
